Birthday,ColorName,ColorNameKana,ColorCode,ColorWords,Personality
02/12,カーミン,Carmine,#d5345e,外交的・情熱・激しい感情,もの静かでも積極的な行動派
02/13,鶯色,うぐいるいろ,#585b54,家庭・几帳面・向上心,自分の価値観を大切に育てる芸術家
02/14,海松色,みるいろ,#726d40,二律背反・誠実・気品と威厳,都会的なセンスを備えた人
02/15,勿忘草色,わすれなぐさいろ,#89c3eb,友情・平和・調和,行動前に２度考える慎重派
02/16,スモークブルー,Smoke Blue,#a4c1d7,謙虚・堅実・克己心,常に自分を高めようとする努力家
02/17,スマルト,Smalto,#4c5e74,根気・完全主義・品格,ものごとにのめりこんでしまう熱中タイプ
02/18,チョコレート,Chocolate,#6c3524,不屈の魂・ひらめき・自己正当化,自分の考えの正しさを主張できる人
02/19,紺色,こんいろ,#223a70,大器・指導者・感性,自分が向かっている道を知る識者
02/20,鳥の子色,とりのこいろ,#fff1cf,魅惑・個性・節度,独創的なセンスを持つ個性派
02/21,ライムライト,Lime Light,#fff799,魅惑・個性・節度,強烈な個性と主張を持つ人
02/22,鬱金色,うこんいろ,#fabf14,感性・楽しい雰囲気・芸術的才能,楽しく目新しさを追求する楽天家
02/23,菜の花色,なのはないろ,#ffec47,人道主義・不言実行・ロマンチスト,人々に歓喜の爆発を起こさせる行動派
02/24,リードグリーン,Lead Green,#d8e2ae,リラックス・社交的・前向き,いつも希望を抱き前に進もうとする人
02/25,ミストホワイト,Mist White,#e5e8e1,目的・感銘・名誉,ねばり強さで目的をとげる努力家
02/26,裏葉色,うらばいろ,#becebc,円満・努力・正確,難問にも全力を傾ける挑戦者
02/27,柳茶,やなぎちゃ,#a1a46d,楽しい会話・おおざっぱ・開放,しきたりに束縛されない人気者
02/28,オリーブグリーン,Olive Green,#5f6527,感性・堅実・優雅,人との交流を大切にする人
02/29,アイビーグリーン,Ivy Green,#578a3d,道徳・知能・構想,友だちの面倒をよくみる人
03/01,一斤染,いっこんぞめ,#f5b199,責任感・気くばり・優しさ,人を活気づけてくれる元気者
03/02,ベビーピンク,Bby Pink,#fdede4,理想・家庭的温かさ・包容力,幸せな家庭を彷彿とさせる人
03/03,鴇色,ときいろ,#f4b3c2,精神的恋愛・礼儀・あでやかさ,愛されていることを知ると美しく輝く人
03/04,ポピーレッド,Poppy Red,#ea5550,主役・高尚・敏感,平均的では満足しない人
03/05,チェリーレッド,Cherry Red,#cf0125,現実主義・豊かな感性・情熱,地に足のついた考えを持つしっかり者
03/06,桜色,さくらいろ,#fef4f4,愛情・思いやり・健全,人を感動させる力を秘めた人
03/07,サーモンピンク,Salmon Pink,#f3a68c,優しさ・気づかい・感性,人の幸せを心から願える人格者
03/08,紅梅色,こうばいいろ,#f2a0a1,愛情・安定した精神・女性らしさ,愛に満ちあふれた女らしい人
03/09,珊瑚色,さんごいろ,#f5b1aa,意欲旺盛・勇猛果敢・外交的,憧れを実現しようと試みる行動派
03/10,シグナルレッド,Signal Red,#e8383d,ロマンチスト・持続力・指導者,多くの分野で活躍する元気者
03/11,砥粉色,とのこいろ,#f4dda5,慈悲深さ・情熱・手際よさ,温かく寛大な心の持ち主
03/12,オレンジバーミリオン,Orange Vermillion,#e65454,無邪気・感性・純粋,人を正しい方向に導く天使
03/13,柿色,かきいろ,#ed6d3d,健やかな心身・組織力・大望,健やかな自分をアピールする元気者
03/14,スカーレッド,Scar Red,#e23620,エネルギー・明朗活発・情熱,はなやかで活気に満ちた行動派
03/15,ルージュ,Rouge,#d11c1e,活発・健康・外向性,自発的にアクションを起こす情熱家
03/16,薄紅藤,うすべにふじ,#d2a4c8,直観力・精神高揚・気高さ,心も体も女性らしい素直な人
03/17,モーブ,Mauve,#915da3,想像力・生活センス・エキゾチック,次々と新しいものをつくり出す創造者
03/18,カンパヌラパープル,Campanula Purple,#985b9e,鋭敏・神秘的・高貴,あらゆるものに敏感な神秘的な人
03/19,ビオレ,Biore,#581074,落ち着き・健康・安定感,湖のように心が静かで美しい人
03/20,古代紫,こだいむらさき,#895b8a,落ち着き・品位・宗教的な高貴さ,いつも冷静にものごとを判断できる人
03/21,ペールオーキッド,Peer Orchid,#aaa7d0,天賦の才能・神秘的・世事に無関係,自分のまわりの環境を美しく変える人
03/22,ディープモーベット,Deep Moo Bet,#ba64a0,品格・デリケート・控えめ,どこでもだれからも好かれる人気者
03/23,江戸紫,えどむらさき,#745399,安定・洗練・芸術的才能,けっして思い上がらない品格者
03/24,マロー,Marrow,#934491,直感的性質・高尚な趣味・主観的,心の友人を求めるロマンチス
03/25,ワインレッド,Wine Red,#b33e5c,主役の風格・個性・自信,直観力と威厳で名を馳せる芸術家
03/26,シルバーグリーン,Silver Green,#cae2c6,新たな可能性・行動力・明哲な判断力,果敢に取り組む努力家
03/27,オパールグリーン,Opal Green,#bee0ce,天賦の美貌・精神の陶冶・自己表現,花の生命の広がりのように美しい人
03/28,ペールアクア,Peer Aqua,#a7d3cf,感謝・教養・思いやり,葉から不思議な香りが漂う人
03/29,スプレーグリーン,Spray Green,#a3d3dd,謙虚・きまじめ・専門的知識,複雑な問題もあっさり片づける人
03/30,パステルブルー,Pastel Blue,#49bdf0,トレンド・情熱と安らぎ,創作力を培うロマンチスト
03/31,ストロー,Straw,#ece093,激励・深い感動・歓喜と悲哀,自由に行動できるスポーツマン
04/01,薄桜,うすざくら,#fdeff2,洗練・友人・ほほえみ,幸せな雰囲気をつくり出すロマンチスト
04/02,シェルピンク,Shell Pink,#fbdac8,詩的情緒・頭脳明晰・純粋,天才的感性表現を持ち合わせた努力家
04/03,フクシャピンク,Fuchsia Pink,#f5a0bd,思いやり・無邪気・想像力と技巧,トレンドを読み取る感覚にすぐれた人
04/04,ディープオーキッドピンク,Deep Orchid Pink,#e383a4,情緒・社交的・新たな目標,温かいもてなしに満ちた人
04/05,青藤色,あおふじいろ,#84a2d4,人づきあい・秘めた情熱・洗練,全身に注意が行き届いたベストドレッサー
04/06,チョークブルー,Chalk Blue,#68a9cf,無邪気・澄んだ視線・洗練,現実から遊離して美しさを求める人
04/07,白百合,しらゆり,#f1f5dc,多才・内向性・創意工夫,いろいろなことに興味を抱いて工夫する努力家
04/08,薄緑色,うすみどりいろ,#69b076,希望・用意周到・敬愛,ほのぼのとした存在感を漂わせる人
04/09,支子色,くちなし,#fbca4d,スポーツ感覚・流れる動作・高い知見,与えられた状況に応じて行動できる人
04/10,パンプキン,Pumpkin,#e5a323,澄んだ瞳・清純・緻密な志向,若い世代の感性を究め尽くした先駆者
04/11,蒸栗色,むしくりいろ,#ecdecf,努力家・リアリスト・陽気,世事に通じた堅実な職人肌
04/12,利休白茶,りきゅうしろちゃ,#a29779,伝統・技巧・主張,伝統を重んじる技術ある自信家
04/13,フォロスティグレイ,Frosty Gray,#e8ece9,楽観的・明るさ・哲学的,多感で豊かな生活経験を持つユーモア人
04/14,鼠色,ねずみいろ,#949495,美貌・しなやかさ・思いやり,人の魂をとりこにする天女のような人
04/15,ペールミストホワイト,Pale Mist White,#d5dad4,中立不偏・保守的・伝統,義理人情に厚く正義感に満ちた人
04/16,スカイグレイ,Sky Gray,#cbd0d3,穏健・快活・謙遜,仕事をそつなくこなす穏健派
04/17,バトルシップグレイ,Battleship Gray,#898989,実直・責任感・客観的,どんな障害にもたじろがない堅実派
04/18,スレートグレイ,Slate Gray,#626063,機知・誇り・良心,喜びを得るために猛進する行動派
04/19,消炭色,けしずみいろ,#524e4d,厳粛・誠実・技量,洞察力と技量を兼ね備えた人
04/20,若苗色,わかなえいろ,#c7dc68,規律・言葉づかい・愛情,清らかでキラキラした感性の持ち主
04/21,若菜色,わかないろ,#d8e698,温厚・誠意・センチメンタル,常に率直な姿勢で臨む素直な人
04/22,鸚緑,おうりょく,#2aa74b,リーダーシップ・指導者,働くことが好きな人
04/23,葦葉色,あしばいろ,#88cb9d,調和・順応・人間関係,社会の信用を集めるしっかり者
04/24,スプラウト,Sprout,#a3d49c,優雅・優しさ・文学,文学に心ひかれる優しい人
04/25,エルブ,Elubu,#79c288,繊細・スポーツ・時間,仕事に手ごたえを感じる挑戦者
04/26,ディープピーグリーン,Deep Pea Green,#79c266,向上心・人のため・完成の喜び,才能を磨くことを忘れない努力家
04/27,エメラルドグリーン,Emerald Green,#00a968,人生・経験・鍛錬,夢を求め、挑戦する人
04/28,ターコイズグリーン,Turquoise Green,#00947a,成熟・バランス・創意,多種多様な計画を生み出すアイデアマン
04/29,薄浅葱,うすあさぎ,#00a6af,ナイーブ・神秘性・癒し,ナイーブな心の持ち主
04/30,アジュールブルー,Azure Blue,#00b2bc,助け合い・行動・成長,成長する人（満足することなく、妥協もしない人）
05/01,ターコイズ,Turquoise,#009b9f,機敏な行動・叙情性・失敗を恐れない,誰からも愛される人気者
05/02,マラカイトグリーン,Malachite Green,#009854,情熱的な瞳・ユーモア・静寂,社交的に振る舞いながらも喧騒を嫌う自然派
05/03,ティールグリーン,Tyr Green,#01686d,大地への憧憬・ロマンチック・牧歌的,澄んだ小川や耕地にあこがれる牧歌的な人
05/04,小鴨色,こがもいろ,#014127,再生能力・経営力・刷新力,正々堂々とした勝利のカギをにぎる人物
05/05,水色,みずいろ,#bce2e8,奔放な表現力・洞察力・主役,理念を形にできる芸術家
05/06,フォゲットミーナットブルー,Foget Me Nut Blue,#70c6f5,直観力・優しさ・アイデア,女性らしさを忘れずに才能を発揮する人
05/07,群青色,ぐんじょういろ,#4c6cb3,思慮深さ・規律正しさ・しなやか,自分の長所を理解し称賛を浴びるマドンナ
05/08,千歳みどり,ちとせみどり,#316745,丁寧・辛抱・謙遜,熟考してから発言する慎重派
05/09,パラキートグリーン,Parakeet Green,#2cb232,調和・バランス,調和とバランスのとれた行動派
05/10,エッグシェル,Egg Shell,#f5f6ca,少女らしさ・感傷的・寛大,たわむれの恋におちいらないしっかり者
05/11,レタスグリーン,Lettuce Green,#d1de4c,新しもの好き・挑戦・話好き,失敗を覚悟で新しいことに臨む挑戦者
05/12,シャルトルーズイエロー,Chartreuse Yellow,#e3e548,グルメ・社交的・田園的生活,誠実な人柄と社交性が混在した人
05/13,枯草色,かれくさいろ,#e4dc8a,正確な理解力・アイデアの具体化,自分の考えを適確に言葉にできる才人
05/14,オリーブ,Olive,#72640c,自然・優しさ・生活を見すえる眼,花や草を愛し育てる喜びを知る自然派
05/15,コロニアルイエロー,Colonialism Yellow,#d0c67c,良心・向上心・体系化,常に知識を蓄える心を持つ向上心豊かな人
05/16,ペールマスタード,Peer Mustard,#a49627,実直な生活・細心の注意・強情な気性,堅実でガンコな気質の名人肌
05/17,ゴールデンオーカー,Golden Ocher,#8d6f2f,明敏さ・抜け目なさ・洞察力,自分の見解を譲ろうとしないガンコ者
05/18,オリーブ茶,おりーぶちゃ,#464646,適確な発言・学識・保守的,知識が充実した穏健派
05/19,千歳茶,せんさいちゃ,#494a41,中立不偏・公平無私・バランス,どんな問題にも対応できるすぐれた者
05/20,ディープアクア,Deep Aqua,#8ccab0,センチメンタル・美しい容貌,センチメンタルな幸福の女神
05/21,緑賞色,りょくしょういろ,#47885e,頭脳明晰・技巧・適応能力,常に刺激や感動を求め続ける前向きな人
05/22,スプルースグリーン,Spruce Green,#036122,律儀な働き者・ハッピーエンド・バランス,無償の愛情にあふれた人情家
05/23,ボトルグリーン,Bottle Green,#034415,自然・個性・寛容,いつも朗らかで人をとがめない心の広い人
05/24,サイプレスグリーン,Cypress Green,#264939,調和と協力・気くばり・まとめ役,みんなから信頼を集めるあねご肌
05/25,ネープルズイエロー,Naples Yellow,#face9d,朗らか・順風満帆・スポーツ,面倒見がよく人に慕われる人気者
05/26,マリーゴールドイエロー,Mari Gold Yellow,#f9cc77,生命力・ロマンチスト・情熱,太陽のように陽気な健康美の麗人
05/27,山吹色,やまぶきいろ,#f8b500,たくましさ・英知・束縛からの解放,陽気で温かい心を持つ自由を愛する人
05/28,オールドゴールド,Old Gold,#b36029,伝統の継承・観察力・仕事を趣味に,仕事を楽しみながらできるしっかり者
05/29,コーヒーブラウン,Coffee Brown,#7a5347,規律・模範・自信,常に向上できる技量を持った人
05/30,灰桜,はいざくら,#e8d3d1,ロマンチスト・知識・思いやり,優雅さと洗練されたシルエットの持ち主
05/31,薄紅,うすべに,#f0908d,豊かな教養・崇高な理想・才媛,ものごとをテキパキとこなす敏腕家
06/01,ペールクロッカス,Peer Crocus,#bea2ca,女性らしさ・自分への投資・うぬぼれ,気高さを持つ女性の中の女性
06/02,菫色,すみれいろ,#7058a3,気まぐれ・気前・チャーミング,けっして媚びへつらわない気高い女性
06/03,プルプル,Pluplu,#5c1767,のんきな・真理の探究・孤独な闘い,常にバランスを心がける人
06/04,ペールホワイトリリー,Pale White Lily,#f7f7d9,無邪気・豊かな才能・刺激,子ども時代に戻る願望を持つ純真な心の持ち主
06/05,ペールフレシュグリーン,Pale Fresh Green,#ddeab2,規則正しい生活・逆境への強さ,リズムのある生活を楽しむ人
06/06,メロンイエロー,Melon Yellow,#e0de94,人道主義・サービス精神・洞察力,人間関係を大切にする平穏な心の持ち主
06/07,エルムグリーン,Elm Green,#657d61,清廉潔白・強靭な精神力・愛想,コミュニケーション上手な国際派
06/08,オリーブドラブ,Olive Drab,#665a1a,愛情・バランス・語学堪能,他人の見解や行為を寛容に受け入れられる人
06/09,クリーム,Cream,#fff8a8,身だしなみ・洗練・品格,見目よい容姿が周囲の注目を集める品格者
06/10,レモンイエロー,Lemon Yellow,#fff352,明るさ・現実・経営力,明るくまわりの人を元気づける自信家
06/11,黄水仙,きすいせん,#f6d700,学問・研究開発・企画力,最先端に立って研究を楽しむ情熱家
06/12,サフランイエロー,Saffron Yellow,#fac559,体力・整った容姿・身だしなみ,バランスよく食べる事を楽しみにする人
06/13,向日葵色,ひまわりいろ,#fcc800,話し好き・健康的な生活・向上心,希望に胸をふくらませる明るい人
06/14,アイボリー,Ivory,#f8f4e6,信頼・誠実・保守的,中間的立場をとる控えめな人
06/15,ライトアプリコット,Light Apricot,#f7b894,我慢強さ・猪突猛進・好奇心,徹底した誠実ぶりが長所の人
06/16,黄土色,おうどいろ,#c39143,評価・刻苦精励・ねばり強さ,努力により目標達成に近づくコツコツ型
06/17,オールドローズ,Old Rose,#e29399,感情的安定感・仕事が趣味,経験を知識と技術として蓄える注目の人
06/18,マホガニーブラウン,Mahogany Brown,#724943,自信・落ち着き・自然との生活,ユーモアのセンスにあふれた堅実派
06/19,卵色,たまごいろ,#fcd575,スポーツ・健康・組織づくり,スポーツ好きで力尽きるまでやる頑張り屋
06/20,サンライトイエロー,Sunlight Yellow,#f19d45,社交的・友人・エネルギー,常に行動をもって先導する模範生
06/21,金茶,きんちゃ,#f39800,芸術・スポーツ・グルメ,料理道具にもこだわる美食家
06/22,ガーネットブラウン,Garnet Brown,#973b2c,エネルギー・忘我の境地・話し好き,人好きで愛想をふりまくはしゃぎ屋
06/23,海老茶,えびちゃ,#773c30,希望・向上心・指導力,人生経験により円熟する寛大な人
06/24,ライトオーキッドピンク,Light Orchid Pink,#f9bdc5,ほほえみ・優しさ・永遠の女性,妖精のように気品にあふれた人
06/25,ペールチェリーピンク,Peer Cherry Pink,#e1849e,勇気・優雅・安らぎ,人の心をとらえる控えめな人
06/26,カーネーションピンク,Carnation Pink,#eb5381,人なつこさ・崇高・プラトニック,好意的で人に親しまれる永遠の恋人
06/27,ローズピンク,Rose Pink,#f19ca7,激しい気性・外交的・希望,周囲の人を激励しチャンスを与える情熱家
06/28,ペッパーレッド,Pepper Red,#cf0141,エネルギー・澄んだ心・友人,気前のよさで人から慕われる才人
06/29,ベビーブルー,Baby Blue,#bbe2f1,平和な心・静穏・思慮深さ,他人のニーズに敏感に対応できる人
06/30,薄群青,うすぐんじょう,#5383c3,個性・理想・向上心,周囲を飲みこむような魅力の持ち主
07/01,ダックブルー,Duck Blue,#007199,平和・空想・環境問題,地球を一つの生命体と考えるエコロジスト
07/02,コバルトブルー,Cobalt Blue,#0068b7,手際よさ・整った身なり・繊細,感性豊かな洗練された都会派
07/03,インクブルー,Ink Blue,#003f8e,気品・耐える人・自信,人も羨むほどの自信家
07/04,アクア,Aqua,#3fb5d3,静穏・崇高・自己発展,心理状態を上手にコントロールできる人
07/05,ペールサックスブルー,Peer Sax Blue,#4593A0,感性・自由・秘めた情熱,愛情に満ちた静かな気質の人
07/06,新橋色,しんばしいろ,#59b9c6,状況判断・意思決定力・信念,前向きな姿勢で仕事も生活も楽しめる人
07/07,ブルーカナール,Blue Canal,#016171,聡明・大望・チャンス,一を聞いて十を知る多才さが魅力の人
07/08,マリンブルー,Marine Blue,#006888,多芸多才・努力・落ち着き,努力により真理を追究する情熱家
07/09,パールホワイト,Pearl White,#f7f6f5,秘密・孤独・正義感,人から頼られることを好む高潔な人物
07/10,ペールパステルブルー,Peer Pastel Blue,#608fc3,優しさ・甘美・謙虚,女性の美しさを象徴する人
07/11,ラベンダーブルー,Lavender Blue,#5371ad,礼儀・審美眼・色彩感,人をうっとりさせる魅力のある人
07/12,マジョリカブルー,Majorica Blue,#044182,教養・上品・幸せな未来,真理を追究する人びとの指導者
07/13,紺青,こんじょう,#192f60,自尊心・滅私奉公・直観力,不幸な人を見過ごせない慈悲深い人
07/14,ディープベビーピンク,Deep Baby Pink,#fdede6,感性・真心・温かさ,前向きな姿勢で仕事も生活も楽しめる人
07/15,ペールモーベッド,Peer Mho Bet,#b370a6,繊細・暗示・慎み深さ,かわいいものに引かれる優美な人
07/16,ファウンテンブルー,Fountain Blue,#94adda,踊りと音楽・自由・個性,自由奔放な生活を望む人
07/17,サルビアブルー,Salvia Blue,#6b76ae,経営力・洗練・機知,道を究めるべくして存在する女性
07/18,ロイヤルパープル,Royal Purple,#7f1184,知性・神秘性・ほのかな香り,助けた人はみな成功する才覚の持ち主
07/19,ディープシェルピンク,Deep Shell Pink,#f7a7a0,繊細・人を楽しませる・温かさ,いつも慎ましい変わらぬ愛の持ち主
07/20,小麦色,こむぎいろ,#e49e61,思いやり・空想的・感受性,優美さに恵まれた妖精のような女性
07/21,ハバナローズ,Havana Rose,#c56950,奥ゆかしさ・躍動・母性愛,美しさと礼儀正しさが一体となった人
07/22,臙脂,えんじ,#b94047,支持・向上心・弾力的思考,自分の力量を自覚し向上させる人
07/23,茜色,あかねいろ,#b7282e,厳格・可能性・積極性,世界的視野を持つ穏健派
07/24,キューピッドピンク,Cupid Pink,#f5949f,ほほえみ・良識・質素,飾り気のない香気で人を陶酔させる美人
07/25,ロータスピンク,Lotus Pink,#de82a7,永久不変の理念・明るさ・献身と抵抗,気品ある精神の持ち主
07/26,ローズマダー,Rose Mader,#af363b,愛敬・優雅・ユーモア,人の内面に響く言動で感動させる情熱家
07/27,クリムソン,Crimson,#8d3446,経験・才能・行動力,女性の成熟が混在する多感な人
07/28,黒柿色,くろがきいろ,#404040,ユーモア・ナイーブ・英知,気高い理想と洗練された精神を宿す情熱家
07/29,セルリアンブルー,Cerulean Blue,#008db7,誠実・霊感・思いやり,真心を込めて人に接する優しい気持ちの持ち主
07/30,ピーコックブルー,Peacock Blue,#009e9f,深い愛情・調和・友情,自分を知り向上できる人
07/31,プルシアンブルー,Pull Cyan Blue,#044d78,神秘的・クールな印象・明るさ,表情に表さなくても心の奥で感動する人
08/01,ブルーシェル,Blue Shell,#438cb5,社交的・我慢と根気・誠実,だれにでも誠実に対応できる社交的な人
08/02,ペールヨットブルー,Peer Yacht Blue,#0098d4,知能・責任・スピーディ,内向的で格式ばったことを好む保守主義者
08/03,ヨットブルー,Yacht Blue,#409ecc,謹厳実直・完全主義・人脈づくり,人を心の底から信じる頼もしい人格者
08/04,シアンブルー,Cyan Blue,#0063a7,気高さ・品格・頂点,粘り強く困難に立向う忍耐力のある人
08/05,瑠璃色,るりいろ,#1e50a2,人間性・おだやか・信頼・尊敬,人に愛される人、信頼される人、尊敬される人
08/06,ラピスラズリー,Lapis Lazuli,#004c97,粗野と高貴・意思決定力・教養,思いやりに満ちた知的な人
08/07,ロイヤルブルー,Royal Blue,#02428c,チャーミング・機知・芸術愛好,知ることを求めて突き進む探検家
08/08,紺瑠璃,こんるり,#164a84,神秘的直観・素朴な疑問・勝負,直観の彼方を見つめつづける人
08/09,ネービーブルー,Navy Blue,#202f55,知的・文化・洗練,俗悪なものを嫌うロマンチスト
08/10,ハイドレンジアブルー,Hyde Renzia Blue,#3f61a1,芸術・才能・表現力・心優しい,感性を磨いて美しく表す芸術家
08/11,桑の実色,くわのみいろ,#55295b,直観・信念・宗教,精神的なものに感じやすい神秘主義者
08/12,藤鼠,ふじねず,#a6a5c4,情熱・孤独・節度,自分の存在を見つめるロマンチスト
08/13,白郡,びゃくぐん,#83ccd2,感性・機敏・信念,堅実な人柄で信頼と尊敬を集める人
08/14,ミヨゾティ,Myosotis,#4cb8e7,輝く美声・生気・表現力,人の心を高みに誘う美声の持ち主
08/15,黄色,きいろ,#ffd911,機知・優しい心・家庭的,温かい愛情に包まれて育った聡明な人
08/16,ライトクリーム,Light Cream,#fffa9c,感性の蓄え・意思・リズム感,感性を動きとリズムで表現する天才
08/17,プリムローズイエロー,Primrose Yellow,#fff97d,愛と友情・好奇心・探求心,色とりどりの少女時代を送った無垢な人
08/18,柑子色,こうじいろ,#f6ad49,至高の精神・明朗・自由闊達,精神を重視する賢者
08/19,ゴールデンオレンジ,Golden Orange,#f79101,自分本位・一番乗り・健康,No.1を求める誇り高き人
08/20,蜜柑色,みかんいろ,#f08300,エネルギー・大望・現実的,心身ともに健康な現実主義者
08/21,肉桂色,にっけいいろ,#dd7a56,エネルギー・人間関係・情勢分析,バランスをとり全体をまとめる指導者
08/22,ゴールデンコーン,Golden Corn,#ffcc83,感情移入・創作力・人間関係,ユニークに広がる心の持ち主
08/23,ディープサンフラワー,Deep Sunflower,#feae01,タイミング・行動のリズム・美学のセンス,ものごとを両面から見てとれる創造者
08/24,イエローオーカー,Yellow Ocher,#c4972f,努力・トレーニング・行動,自分をより高めようとする努力家
08/25,バフ,Buff,#caac71,節度・平和・優雅,人間関係を大切にする礼儀正しい人
08/26,煙草色,たばこいろ,#7d541c,堅実・組織力・現実主義,自分を優位に立たせることを願う指導者
08/27,スカイブルー,Sky Blue,#a0d8ee,深慮遠謀・ファッション感覚・行動力,どんな装いもフィットするロマンチスト
08/28,アクアグレイ,Aqua Gray,#5d9cbf,芸術・感性・想像力,どんな分野でも主役を望むクリエーター
08/29,ペールサルビアブルー,Peer Salvia Blue,#4b7cb6,かぐわしさ・献身的行為・気品,人脈づくりを得意とする慎重派
08/30,ウルトラマリーン,Ultra Marine,#356cac,母性愛・音楽・気品,心の琴線にふれる旋律を奏でる思いやりあふれる人
08/31,紫紺,しこん,#460e44,自己管理・知的権威・居丈高,人の上に立つオピニオンリーダー
09/01,フレッシュグリーン,Freshgreen,#7dbb7c,教養・繊細・慎ましさ,やさしく甘い声で語る恋愛小説のヒロイン
09/02,牧草色,ぼくそういろ,#368a56,頑固・公明正大・努力,自己犠牲をも辞さない尊敬すべき人
09/03,ホリーブリーン,Holly Green,#016257,知覚・優しさ・創作意欲,ユートピアを夢見る文学少女
09/04,ビリジャン,Billi Jean,#006b35,好奇心・スリル・自発的,冷静な判断力を持つ客観的な人
09/05,鉄色,てついろ,#005243,虚栄心・善悪の区別・秩序,少しずつ真理に近づく高潔な人
09/06,海松藍色,みるあいいろ,#003d26,自分自身・エネルギー・努力,努力を惜しまない努力家
